Name,Polarity,Length,Subjectivity
Thor_2011,0.2298,455,0.5245
Thor_2011,0.0323,910,0.5181
Thor_2011,-0.0264,1365,0.4071
Thor_2011,0.1005,1820,0.5585
Thor_2011,0.0994,2275,0.5620
Thor_2011,0.1589,2730,0.5706
Thor_2011,0.1019,3185,0.6792
Thor_2011,0.0573,3640,0.5756
Thor_2011,0.0596,4095,0.4944
Thor_2011,0.0761,4550,0.7282
Thor_2011,0.1227,5005,0.5916
Thor_2011,0.1422,5460,0.6964
Thor_2011,0.0497,5915,0.5825
Thor_2011,0.2350,6370,0.6370
Thor_2011,0.3361,6825,0.6660
